N,P,K,temperature,humidity,ph,rainfall,label
108,24,33,26.04,51.72,7.07,166.4,coffee
91,19,30,23.97,51.76,7.9,149.48,coffee
91,35,29,24.0,52.28,6.12,176.59,coffee
113,36,27,26.0,56.9,6.59,194.04,coffee
83,24,35,25.23,54.06,6.85,183.29,coffee
111,34,30,23.23,55.5,7.46,142.97,coffee
109,19,30,27.07,59.28,7.35,183.73,coffee
109,34,34,24.09,58.75,6.68,158.97,coffee
84,31,30,24.96,51.0,7.73,141.17,coffee
103,38,32,26.41,56.91,6.13,160.61,coffee
117,25,28,23.92,57.65,7.1,168.3,coffee
90,23,29,23.66,54.44,7.16,188.65,coffee
112,26,30,26.04,59.82,7.26,142.08,coffee
89,38,33,25.75,53.96,6.81,182.39,coffee
80,25,27,25.11,54.99,6.24,144.84,coffee
112,38,30,25.28,52.07,6.43,181.66,coffee
87,25,30,23.78,56.82,7.18,184.2,coffee
80,29,30,24.83,53.59,7.99,188.24,coffee
84,24,26,24.11,56.85,7.92,160.47,coffee
119,37,29,23.38,55.76,6.47,183.27,coffee
89,39,35,24.68,56.92,6.73,182.27,coffee
111,33,33,25.12,53.55,7.58,168.98,coffee
107,16,33,24.18,51.54,7.6,163.16,coffee
116,35,27,26.14,59.17,6.67,146.68,coffee
97,19,33,25.59,51.09,6.2,168.53,coffee
120,23,30,25.44,54.27,7.43,198.67,coffee
113,39,35,23.71,55.45,6.74,148.87,coffee
102,26,34,24.82,58.9,6.9,187.23,coffee
119,34,35,25.9,54.34,7.95,147.61,coffee
89,40,35,27.96,50.78,6.65,198.32,coffee
97,26,27,24.44,59.99,6.59,159.89,coffee
107,27,26,26.2,58.69,8.0,142.83,coffee
84,16,26,28.0,53.2,7.1,153.25,coffee
110,33,35,26.61,57.66,8.0,196.98,coffee
96,30,32,24.39,52.87,6.75,178.95,coffee
120,35,35,27.19,57.07,6.28,164.67,coffee
113,33,25,27.25,56.3,6.15,185.54,coffee
89,37,29,25.62,55.12,6.82,182.7,coffee
84,34,32,27.98,58.99,6.91,166.84,coffee
108,34,28,24.83,59.87,7.59,146.59,coffee
109,38,27,24.33,52.22,7.19,181.48,coffee
111,17,28,26.23,57.88,6.93,154.06,coffee
101,28,29,25.34,55.58,6.45,159.62,coffee
100,36,33,23.22,52.04,6.0,165.58,coffee
117,39,25,26.5,50.19,7.55,173.65,coffee
92,37,35,23.54,56.2,6.14,142.92,coffee
108,31,30,25.14,50.62,6.22,194.56,coffee
81,27,34,26.95,59.58,7.71,193.57,coffee
117,27,26,24.88,53.98,7.15,150.54,coffee
97,17,26,25.06,51.62,7.36,175.83,coffee
119,27,35,26.5,55.7,6.95,175.95,coffee
111,25,26,26.42,59.47,6.05,170.82,coffee
113,35,32,23.59,58.97,6.63,166.65,coffee
115,21,31,25.99,52.14,6.59,189.67,coffee
106,21,31,24.54,52.99,6.35,154.13,coffee
112,38,32,24.02,57.41,7.03,189.53,coffee
90,19,26,26.88,54.25,6.8,198.94,coffee
82,37,26,27.22,58.92,6.9,155.98,coffee
97,20,28,26.79,54.99,6.25,190.67,coffee
93,27,34,25.46,55.02,7.23,190.05,coffee
107,33,29,27.49,55.98,6.9,177.25,coffee
112,18,28,23.05,59.19,6.81,143.04,coffee
88,27,33,27.26,56.47,7.38,191.12,coffee
101,18,31,26.96,56.0,6.31,180.73,coffee
114,35,31,23.29,51.78,7.17,144.08,coffee
96,17,25,23.85,58.66,6.29,178.0,coffee
97,36,35,26.07,58.94,7.92,151.51,coffee
113,40,33,24.7,55.76,7.42,196.37,coffee
105,17,33,26.26,50.55,6.89,169.89,coffee
83,28,33,26.54,55.79,7.33,198.99,coffee
107,37,25,23.47,52.51,7.99,152.89,coffee
90,39,30,23.11,57.17,6.99,156.04,coffee
87,35,25,24.71,55.07,7.65,191.6,coffee
113,22,25,25.94,59.04,6.83,189.17,coffee
83,22,35,27.63,53.32,7.66,143.85,coffee
96,36,30,27.36,56.28,6.8,145.89,coffee
87,19,33,26.51,54.93,7.43,194.49,coffee
88,22,34,25.58,55.56,6.95,146.12,coffee
94,23,27,27.32,51.16,7.33,196.0,coffee
120,27,26,26.27,53.34,6.45,144.98,coffee
112,31,35,25.35,50.05,6.88,154.04,coffee
115,40,29,27.19,50.21,7.08,193.04,coffee
81,25,34,24.21,54.83,6.53,154.41,coffee
90,21,35,26.86,54.02,7.71,170.23,coffee
115,33,25,23.95,53.4,6.95,145.19,coffee
83,33,26,23.56,56.86,7.65,150.21,coffee
115,39,34,25.62,50.69,7.36,148.47,coffee
106,34,35,24.71,54.5,7.24,162.96,coffee
105,35,32,27.78,54.09,6.52,190.66,coffee
120,20,25,25.95,51.01,7.92,187.14,coffee
87,16,26,25.39,59.42,6.04,198.27,coffee
